N, SortStr, Year, Month, Day, Nick, Added, Text
169, 01_27_2008, 2008, 01, 27, antihome, 1201422062, Скончался бывший индонезийский президент Х.М.Сухарто (2008)
170, 01_27_2009, 2009, 01, 27, antihome, 1233037069, Поздравляем podovan с ДР!
171, 01_27_2009, 2009, 01, 27, antihome, 1233083574, Митрополит Смоленский и Калининградский Кирилл стал новым патриархом Московским и всея Руси (2009)
172, 01_28_1970, 0000, 01, 28, n/a, 1175318371, Международный день мобилизации против ядерной войны
173, 01_28_1986, 1986, 01, 28, n/a, 1175318371, Катастрофа космического корабля `Челленджер`
174, 01_28_2007, 2007, 01, 28, n/a, 1175318371, Международный день мобилизации против ядерной войны
175, 01_28_2007, 2007, 01, 28, n/a, 1175318371, День открытия Антарктиды.
176, 01_28_2007, 2007, 01, 28, n/a, 1175318371, День святого Фомы Аквинского
177, 01_28_2007, 2007, 01, 28, n/a, 1175318371, День преподобного Павла Фивейского
178, 01_28_2007, 2007, 01, 28, n/a, 1175318371, На борту своего корабля от дизентерии умер английский пират Фрэнсис Дрейк (1596)
179, 01_28_2007, 2007, 01, 28, n/a, 1175318371, Указом Петра I основаны Петербургская академия наук и Петербургский университет (1724)
180, 01_28_2007, 2007, 01, 28, n/a, 1175318371, В Санкт-Петербурге открылись женские политехнические курсы — первое в России высшее техническое учебное заведение для женщин (1906)
181, 01_28_2007, 2007, 01, 28, n/a, 1175318371, Эстония и Латвия объявляют свою независимость от России (1918)
182, 01_28_2007, 2007, 01, 28, n/a, 1175318371, Катастрофа космического корабля «Челленджер» (1986)
183, 01_28_2007, 2007, 01, 28, n/a, 1175318371, В ходе встречи президентов России и Украины Владимира Путина и Леонида Кучмы подписан Договор о российско-украинской государственной границе (2003)
184, 01_29_1970, 0000, 01, 29, n/a, 1175318371, День изобретения автомобиля
185, 01_29_2002, 2002, 01, 29, n/a, 1175318371, День рождения русского писателя А.П. Чехова
186, 01_29_2002, 2002, 01, 29, n/a, 1175318371, День работников пожарной охраны
187, 01_29_2003, 2003, 01, 29, n/a, 1175318371, День рождения phantick
188, 01_29_2007, 2007, 01, 29, n/a, 1175318371, День изобретения автомобиля
189, 01_29_2007, 2007, 01, 29, n/a, 1175318371, День работников пожарной охраны (Украина)
190, 01_29_2007, 2007, 01, 29, n/a, 1175318371, День поклонения честным веригам (цепям) апостола Петра
191, 01_29_2007, 2007, 01, 29, n/a, 1175318371, В Санкт-Петербурге учреждена первая в России городская почта (1833)
192, 01_29_2007, 2007, 01, 29, n/a, 1175318371, Образована Калининская (ныне Тверская) область (1833)
193, 01_29_2007, 2007, 01, 29, n/a, 1175318371, Государственная библиотека им.Ленина преобразована в Российскую государственную библиотеку (РГБ) (1992)
194, 01_29_2007, 2007, 01, 29, n/a, 1175318371, Установлены дипломатические отношения между Российской Федерацией и Барбадосом (1993)
195, 01_29_2007, 2007, 01, 29, n/a, 1175318371, Подованчега с Днем Рождения!
